                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.60339,                0.46272,                 1.0701,                      1,                0.99976,                  0.995,                0.90612,                 0.4613,                0.29876,                0.97017,              0.0003368,              0.0003368,              0.0003368
                     86,                0.55391,                0.41916,                 1.0643,                      1,                0.99797,                  0.995,                0.90614,                0.44928,                0.29965,                0.96112,               0.000317,               0.000317,               0.000317
                     87,                 0.6457,                 0.4847,                 1.1125,                0.99823,                      1,                  0.995,                0.90785,                0.44497,                0.30244,                0.95331,              0.0002972,              0.0002972,              0.0002972
                     88,                0.57754,                0.45152,                 1.0727,                      1,                0.99924,                  0.995,                0.91192,                0.44957,                0.30305,                0.95422,              0.0002774,              0.0002774,              0.0002774
                     89,                0.60848,                0.46735,                 1.0796,                0.99794,                      1,                  0.995,                0.90758,                0.45659,                0.30385,                0.95672,              0.0002576,              0.0002576,              0.0002576
                     90,                0.63038,                0.46288,                 1.0819,                0.99896,                      1,                  0.995,                0.90641,                0.44268,                0.29791,                0.94754,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45351,                 0.3916,                0.99941,                 0.9997,                      1,                  0.995,                0.91098,                  0.434,                 0.2989,                0.94341,               0.000218,               0.000218,               0.000218
                     92,                0.46924,                 0.3596,                 1.0399,                0.99405,                      1,                  0.995,                0.91542,                0.42289,                0.29652,                0.94128,              0.0001982,              0.0001982,              0.0001982
                     93,                0.46608,                0.36313,                 1.0154,                0.99335,                      1,                 0.9949,                0.91553,                0.42207,                0.29641,                0.93895,              0.0001784,              0.0001784,              0.0001784
                     94,                0.45221,                0.34544,                0.98716,                0.99439,                      1,                 0.9949,                0.91797,                0.41158,                0.28656,                0.93028,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.4394,                0.34175,                0.99462,                0.99443,                      1,                 0.9949,                0.92106,                0.40839,                0.28394,                0.92857,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.4252,                0.32839,                0.96751,                 0.9944,                      1,                 0.9949,                 0.9234,                0.40385,                0.28442,                0.92598,               0.000119,               0.000119,               0.000119
                     97,                 0.4361,                0.31817,                0.97935,                0.99439,                      1,                0.99495,                0.92542,                0.40134,                0.28274,                0.92275,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42227,                0.33392,                0.97971,                0.99435,                      1,                  0.995,                0.92254,                0.39379,                0.27912,                0.91698,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.39756,                0.31603,                0.97085,                0.99671,                      1,                  0.995,                0.92264,                0.38978,                0.27584,                0.91403,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.40549,                 0.3169,                0.96894,                0.99801,                      1,                  0.995,                0.92277,                0.38882,                 0.2751,                 0.9132,               3.98e-05,               3.98e-05,               3.98e-05
